Hardness     Adhesiveness     Cohesiveness     Gumminess     Chewiness     Resilience
910.292	      -2894.798	         0.749	         681.74	      658.874	     0.034
908.047	      -1455.503	         0.769	         698.108      694.639	     0.033
873.751	      -2698.319	         0.771	         673.843      655.428	     0.032
451.145	      -1288.372		 0.708	         319.448      311.908	     0.026
547.512	      -992.066	         0.756	         414.101      409.471	     0.029
476.676	      -1460.819	         0.752	         358.222      350.212	     0.022
230.946	      -491.151	         0.746	         172.179      169.826	     0.022
275.798	      -782.909	         0.729	         200.996      196.752	     0.024
262.185	      -727.347	         0.714	         187.288      183.333	     0.024
1125.762      -1794.459	         0.724	         814.491      810.443	     0.029
844.232	      -1141.66	         0.706	         596.127      593.165	     0.03
975.444	      -1328.806	         0.659	         642.417      640.023	     0.032
572.159	      -1700.638	         0.679	         388.35	      378.219	     0.027
579.468	      -982.028	         0.783	         453.443      451.753	     0.026
455.994	      -877.218	         0.776	         354.024      348.746	     0.027
298.726	      -885.642	         0.718	         214.359      210.099	     0.019
292.134	      -859.627	         0.719	         209.909      205.215	     0.021
308.709	      -932.167	         0.715	         220.803      216.14	     0.021
-132	      -1405.183	         0.594	         -78.348      -77.375	     0.032
852.137	      -1307.916	         0.631	         537.862      535.189	     0.039
1019.603      -2424.588	         0.629	         641.521      620.801	     0.042
441.783	      -1212.759	         0.676	         298.806      291.382	     0.03
565.807	      -1153.789	         0.614	         347.168      340.268	     0.03
563.681	      -1617.496	         0.66	         372.187      361.553	     0.03
274.508	      -920.041	         0.665	         182.655      177.209	     0.023
239.377	      -726.78	         0.68	         162.66	      158.619	     0.023
241.861	      -747.096	         0.68	         164.375      159.678	     0.022
386.877	      -178.717	         0.384	         148.447      127.056	     0.025
452.148	      -1157.082	         0.735	         332.239      324.81	     0.029
426.904	      -699.731	         0.687	         293.183      292.091	     0.024
204.389	      -579.618	         0.728	         148.694      145.739	     0.021
204.15	      -656.42	         0.718	         146.679      143.763	     0.018
222.659	      -662.547	         0.719	         160.185      156.205	     0.021
101.908	      -299.196	         0.719	         73.301	      71.753	     0.017
107.687	      -331.013	         0.729	         78.53	      76.871	     0.018
109.288	      -360.35	         0.723	         79.009	      77.242	     0.016
723.146	      -2114.022	         0.783	         565.991      556.148	     0.03
736.353	      -1377.237	         0.851	         626.935      622.262	     0.03
720.949	      -1418.687	         0.908	         654.808      649.114	     0.031
452.984	      -1536.085	         0.819	         371.009      359.947	     0.028
488.235	      -791.339	         0.716	         349.421      347.251	     0.029
466.86	      -727.018	         0.727	         339.468      337.36	     0.024
337.034	      -618.801	         0.701	         236.237      233.889	     0.025
358.552	      -924.289	         0.666	         238.623      232.694	     0.027
319.289	      -871.501	         0.615	         196.511      191.384	     0.025
-206.992      -1713.767	         0.802	         -165.935     -162.018	     0.027
596.878	      -1906.314	         0.802	         478.686      468.577	     0.028
611.017	      -1719.915	         0.791	         483.199      472.394	     0.028
293.758	      -978.866	         0.796	         233.974      229.614	     0.02
307.156	      -998.923	         0.822	         252.565      248.172	     0.021
306.583	      -971.714	         0.814	         249.635      244.983	     0.022
221.966	      -738.606	         0.826	         183.372      180.183	     0.02
-62.119	      -776.312	         0.825	         -51.244      -50.289	     0.019
235.317	      -771.988	         0.789	         185.653      182.194	     0.02
323.994	      -1056.69	         0.762	         247.017      241.494	     0.023
375.867	      -1195.183	         0.776	         291.772      285.248	     0.021
362.23	      -1198.297	         0.746	         270.3	      263.584	     0.024
250.267	      -741.283	         0.765	         191.411      187.369	     0.022
207.661	      -636.614	         0.737	         153.036      149.994	     0.021
242.744	      -736.888	         0.768	         186.445      182.508	     0.021
160.803	      -543.266	         0.745	         119.877      117.494	     0.017
186.692	      -590.389	         0.753	         140.508      137.541	     0.019
202.43	      -634.624	         0.692	         140.089      136.957	     0.02
-26.128	      -508.907	         0.554	         -14.473      -14.311	     0.031
-122.519      -504.581	         0.471	         -57.679      -54.741	     0.029
-109.717      -818.909	         0.515	         -56.526      -55.894	     0.032
-66.561	      -466.161	         0.553	         -36.826      -36.46	     0.029
304.553	      -798.692	         0.566	         172.303      167.166	     0.031
260.25	      -798.959	         0.663	         172.641      167.279	     0.026
241.168	      -715.857	         0.525	         126.553      122.308	     0.028
222.969	      -588.116	         0.54	         120.435      116.545	     0.027
-72.819	      -430.845	         0.58	         -42.213      -41.951	     0.03
897.825	      -2996.332	         0.799	         716.99	      694.723	     0.027
-338.156      -1715.284	         0.789	         -266.945     -264.623	     0.032
-290.605      -1410.258	         0.797	         -231.572     -230.709	     0.028
540.706	      -1766.741	         0.771	         417.143      405.743	     0.027
-203.839      -1640.507	         0.746	         -152.132     -148.352	     0.029
-150.629      -862.756	         0.74	         -111.404     -109.882	     0.029
348.163	      -1085.472	         0.778	         270.835      264.779	     0.023
395.26	      -1098.512	         0.757	         299.156      292.466	     0.021
367.341	      -1083.201	         0.794	         291.635      285.114	     0.025
520.095	      -1696.145	         0.753	         391.807      381.099	     0.029
576.745	      -1303.315	         0.825	         475.981      471.251	     0.03
603.088	      -1934.123	         0.778	         468.963      455.564	     0.03
374.004	      -984.286	         0.756	         282.881      276.555        0.027
372.953	      -1277.95	         0.669	         249.345      242.531	     0.026
384.847	      -1243.06	         0.751	         288.964      281.066	     0.024
-114.088      -805.885	         0.745	         -84.985      -82.873	     0.022
278.998	      -877.333	         0.751	         209.519      204.314	     0.024
298.606	      -802.756	         0.741	         221.134      215.915	     0.026



















