{'real': (1, 'Low'), 'file': './SEM_Image/validation/High/L22-B_sharped.BMP', 'target': (0, 'High')}
{'real': (0, 'High'), 'file': './SEM_Image/validation/Low/L14-A_contrasted.BMP', 'target': (1, 'Low')}
{'real': (2, 'Middle'), 'file': './SEM_Image/validation/Low/M5A_contrasted.BMP', 'target': (1, 'Low')}
{'real': (2, 'Middle'), 'file': './SEM_Image/validation/Low/1-1.BMP', 'target': (1, 'Low')}
{'real': (2, 'Middle'), 'file': './SEM_Image/validation/Low/M18B_sharped.BMP', 'target': (1, 'Low')}
{'real': (2, 'Middle'), 'file': './SEM_Image/validation/Low/M18B.BMP', 'target': (1, 'Low')}
{'real': (2, 'Middle'), 'file': './SEM_Image/validation/Low/M18B_contrasted.BMP', 'target': (1, 'Low')}
{'real': (2, 'Middle'), 'file': './SEM_Image/validation/Low/M5A_sharped.BMP', 'target': (1, 'Low')}
{'real': (2, 'Middle'), 'file': './SEM_Image/validation/Low/M5A.BMP', 'target': (1, 'Low')}
{'real': (2, 'Middle'), 'file': './SEM_Image/validation/Low/M5A_brighted.BMP', 'target': (1, 'Low')}
{'real': (2, 'Middle'), 'file': './SEM_Image/validation/Low/1-1_contrasted.BMP', 'target': (1, 'Low')}
{'real': (2, 'Middle'), 'file': './SEM_Image/validation/Low/1-1_sharped.BMP', 'target': (1, 'Low')}
{'real': (2, 'Middle'), 'file': './SEM_Image/validation/Low/1-1_brighted.BMP', 'target': (1, 'Low')}
{'real': (1, 'Low'), 'file': './SEM_Image/validation/Middle/L18-B_contrasted.BMP', 'target': (2, 'Middle')}
{'real': (1, 'Low'), 'file': './SEM_Image/validation/Middle/M14A_sharped.BMP', 'target': (2, 'Middle')}
{'real': (1, 'Low'), 'file': './SEM_Image/validation/Middle/M3B.BMP', 'target': (2, 'Middle')}
{'real': (1, 'Low'), 'file': './SEM_Image/validation/Middle/L18-B_sharped.BMP', 'target': (2, 'Middle')}
{'real': (1, 'Low'), 'file': './SEM_Image/validation/Middle/M14A_contrasted.BMP', 'target': (2, 'Middle')}
{'real': (1, 'Low'), 'file': './SEM_Image/validation/Middle/M14A_brighted.BMP', 'target': (2, 'Middle')}
{'real': (1, 'Low'), 'file': './SEM_Image/validation/Middle/M14A.BMP', 'target': (2, 'Middle')}
{'real': (1, 'Low'), 'file': './SEM_Image/validation/Middle/M3B_sharped.BMP', 'target': (2, 'Middle')}
{'real': (1, 'Low'), 'file': './SEM_Image/validation/Middle/L18-B_brighted.BMP', 'target': (2, 'Middle')}
{'real': (1, 'Low'), 'file': './SEM_Image/validation/Middle/L18-B.BMP', 'target': (2, 'Middle')}
{'real': (1, 'Low'), 'file': './SEM_Image/validation/Middle/M3B_contrasted.BMP', 'target': (2, 'Middle')}
