i:0, r:0, g:0, b:0
i:1, r:128, g:0, b:0
i:2, r:0, g:128, b:0
i:3, r:128, g:128, b:0
i:4, r:0, g:0, b:128
i:5, r:128, g:0, b:128
i:6, r:0, g:128, b:128
i:7, r:128, g:128, b:128
i:8, r:64, g:0, b:0
i:9, r:192, g:0, b:0
i:10, r:64, g:128, b:0
i:11, r:192, g:128, b:0
i:12, r:64, g:0, b:128
i:13, r:192, g:0, b:128
i:14, r:64, g:128, b:128
i:15, r:192, g:128, b:128
i:16, r:0, g:64, b:0
i:17, r:128, g:64, b:0
i:18, r:0, g:192, b:0
i:19, r:128, g:192, b:0
i:20, r:0, g:64, b:128
i:21, r:128, g:64, b:128
i:22, r:0, g:192, b:128
i:23, r:128, g:192, b:128
i:24, r:64, g:64, b:0
i:25, r:192, g:64, b:0
i:26, r:64, g:192, b:0
i:27, r:192, g:192, b:0
i:28, r:64, g:64, b:128
i:29, r:192, g:64, b:128
i:30, r:64, g:192, b:128
i:31, r:192, g:192, b:128
i:32, r:0, g:0, b:64
i:33, r:128, g:0, b:64
i:34, r:0, g:128, b:64
i:35, r:128, g:128, b:64
i:36, r:0, g:0, b:192
i:37, r:128, g:0, b:192
i:38, r:0, g:128, b:192
i:39, r:128, g:128, b:192
i:40, r:64, g:0, b:64
i:41, r:192, g:0, b:64
i:42, r:64, g:128, b:64
i:43, r:192, g:128, b:64
i:44, r:64, g:0, b:192
i:45, r:192, g:0, b:192
i:46, r:64, g:128, b:192
i:47, r:192, g:128, b:192
i:48, r:0, g:64, b:64
i:49, r:128, g:64, b:64
i:50, r:0, g:192, b:64
i:51, r:128, g:192, b:64
i:52, r:0, g:64, b:192
i:53, r:128, g:64, b:192
i:54, r:0, g:192, b:192
i:55, r:128, g:192, b:192
i:56, r:64, g:64, b:64
i:57, r:192, g:64, b:64
i:58, r:64, g:192, b:64
i:59, r:192, g:192, b:64
i:60, r:64, g:64, b:192
i:61, r:192, g:64, b:192
i:62, r:64, g:192, b:192
i:63, r:192, g:192, b:192
i:64, r:32, g:0, b:0
i:65, r:160, g:0, b:0
i:66, r:32, g:128, b:0
i:67, r:160, g:128, b:0
i:68, r:32, g:0, b:128
i:69, r:160, g:0, b:128
i:70, r:32, g:128, b:128
i:71, r:160, g:128, b:128
i:72, r:96, g:0, b:0
i:73, r:224, g:0, b:0
i:74, r:96, g:128, b:0
i:75, r:224, g:128, b:0
i:76, r:96, g:0, b:128
i:77, r:224, g:0, b:128
i:78, r:96, g:128, b:128
i:79, r:224, g:128, b:128
i:80, r:32, g:64, b:0
i:81, r:160, g:64, b:0
i:82, r:32, g:192, b:0
i:83, r:160, g:192, b:0
i:84, r:32, g:64, b:128
i:85, r:160, g:64, b:128
i:86, r:32, g:192, b:128
i:87, r:160, g:192, b:128
i:88, r:96, g:64, b:0
i:89, r:224, g:64, b:0
i:90, r:96, g:192, b:0
i:91, r:224, g:192, b:0
i:92, r:96, g:64, b:128
i:93, r:224, g:64, b:128
i:94, r:96, g:192, b:128
i:95, r:224, g:192, b:128
i:96, r:32, g:0, b:64
i:97, r:160, g:0, b:64
i:98, r:32, g:128, b:64
i:99, r:160, g:128, b:64
i:100, r:32, g:0, b:192
i:101, r:160, g:0, b:192
i:102, r:32, g:128, b:192
